fecha_dato,AC,C_C,NM,CV
2013-03-12 18:00:00,0.93,IN,17,CC85-92
2013-03-04 16:00:00,0.5,IN,17,CC85-92
2013-03-24 17:00:00,0.9,IN,17,CC85-92
2013-03-31 17:00:00,1,IN,17,CC84-75
2013-03-31 17:00:00,16.36,IN,17,CC84-75
2013-03-31 17:00:00,0.3,IN,17,CC84-75
2013-03-31 17:00:00,2,IN,17,CC84-75
2013-03-24 12:00:00,7,IN,17,CC85-92
2013-03-02 20:00:00,5,IN,17,CC85-92
2013-03-31 21:00:00,1,IN,17,CC85-92
2013-03-31 21:00:00,5.78,IN,17,CC85-92
2013-03-30 17:00:00,3.87,IN,17,CC85-92
2013-03-10 22:00:00,1.84,IN,17,PR61-632
2013-03-10 22:00:00,8,IN,17,PR61-632
2013-03-10 22:00:00,4.28,IN,17,PR61-632
2013-03-11 20:00:00,3,IN,17,CC85-92
2013-03-07 17:00:00,3.84,IN,17,CC85-92
2013-03-19 20:00:00,6.48,IN,17,CC85-92
2013-03-30 21:00:00,2.43,IN,17,CC85-92
2013-03-30 22:00:00,2.6,IN,17,CC85-92
2013-03-23 14:00:00,1.5,IN,17,CC85-92
2013-03-29 21:00:00,6.49,IN,17,CC85-92
2013-03-29 21:00:00,0.33,IN,17,CC85-92
2013-03-06 13:00:00,7.17,IN,17,CC84-75
2013-03-07 18:00:00,4,IN,17,CC84-75
2013-03-06 13:00:00,6.95,IN,17,CC84-75
2013-03-07 19:00:00,4.34,IN,17,CC85-92
2013-03-07 16:00:00,5.33,IN,17,CC85-92
2013-03-27 17:00:00,2,IN,18,CC85-92
2013-03-12 22:00:00,3,IN,18,CC85-92
2013-03-12 22:00:00,1,IN,18,CC85-92
2013-03-01 20:00:00,5.9,IN,17,CC85-92
2013-04-01 20:00:00,4.7,IN,17,CC85-92
2013-03-03 20:00:00,0.3,IN,13,CC 8592
2013-03-04 21:00:00,2,IN,10,CC 8592
2013-03-04 21:00:00,1.3,IN,10,CC 8592
2013-03-04 16:00:00,0.04,IN,13,CC 8592
2013-03-07 21:00:00,4.91,IN,10,CC 8592
2013-03-07 21:00:00,0.5,IN,10,CC 8592
2013-03-25 17:00:00,1.78,IN,4,CC85-92
2013-03-14 19:00:00,0.7,IN,1,CC85-92
2013-03-10 16:00:00,7,IN,9,CC85-92
2013-03-10 19:00:00,2.03,IN,12,CC85-92
2013-03-10 20:00:00,0.1,IN,17,CC85-92
2013-04-05 23:00:00,2.74,IN,17,CC85-92
2013-04-01 13:00:00,9.15,IN,4,CC85-92
2013-04-07 20:00:00,2.01,IN,7,CC85-92
2013-04-07 20:00:00,3.42,IN,7,CC85-92
2013-04-22 13:00:00,2.33,IN,7,CC85-92
2013-04-22 13:00:00,6.27,IN,7,CC93-4418
2013-04-22 13:00:00,3.02,IN,7,CC85-92
2013-04-24 15:00:00,7.12,IN,7,CC93-4418
2013-04-24 15:00:00,6.15,IN,7,CC85-92
2013-04-25 23:00:00,0.32,IN,10,CC85-92
2013-04-27 17:00:00,1.02,IN,10,CC92-2393
2013-04-29 13:00:00,0.85,IN,10,CC93-4418
2013-04-02 14:00:00,6.73,IN,4,CC85-92
2013-04-25 16:00:00,2.41,IN,4,CC44-81
2013-04-26 16:00:00,9,IN,18,CC84-75
2013-04-26 16:00:00,4.29,IN,18,CC84-75
2013-04-27 13:00:00,10.35,IN,11,CC85-92
2013-04-29 09:00:00,0.4,IN,11,CC85-92
2013-04-28 22:00:00,1.5,IN,13,CC85-92
2013-04-27 22:00:00,1.4,IN,9,CC85-92
2013-04-18 20:00:00,1.3,IN,12,CC85-92
2013-04-17 15:00:00,0.7,IN,9,CC85-92
2013-04-16 20:00:00,2.44,IN,4,CC85-92
2013-04-15 19:00:00,4.35,IN,4,CC85-92
2013-04-15 14:00:00,1.52,IN,9,CC85-92
2013-04-14 19:00:00,0.5,IN,4,CC85-92
2013-04-14 19:00:00,1.4,IN,4,CC85-92
2013-04-13 21:00:00,1.99,IN,12,CC85-92
2013-04-12 21:00:00,3.9,IN,12,CC85-92
2013-04-12 21:00:00,1.06,IN,12,CC85-92
2013-04-10 18:00:00,8.63,IN,4,CC85-92
2013-04-10 23:00:00,6.38,IN,12,CC85-92
2013-04-10 23:00:00,5.18,IN,12,CC85-92
2013-04-10 23:00:00,10.82,IN,12,CC85-92
2013-04-10 23:00:00,15.02,IN,12,CC85-92
2013-04-10 23:00:00,5.63,IN,12,CC85-92
2013-04-10 18:00:00,4.3,IN,25,CC85-92
2013-04-10 19:00:00,10.21,IN,25,CC85-92
2013-04-09 23:00:00,3.93,IN,12,CC85-92
2013-04-09 19:00:00,2.58,IN,25,CC85-92
2013-04-08 22:00:00,15.92,IN,12,CC85-92
2013-04-04 22:00:00,2.6,IN,12,CC85-92
2013-04-02 13:00:00,2.7,IN,17,CC85-92
2013-04-02 23:00:00,4.3,IN,12,CC85-92
2013-04-10 18:00:00,3.7,IN,17,CC84-75
2013-04-11 18:00:00,2.59,IN,17,CC 93-4418
2013-04-06 20:00:00,1.67,IN,9,CC 85-92
2013-04-24 18:00:00,1.69,IN,9,CC 85-92
2013-04-24 18:00:00,1.34,IN,9,CC 92-2198
2013-04-18 18:00:00,4.52,IN,17,CC 93-4418
2013-04-25 19:00:00,2,IN,17,CC 85-92
2013-04-11 19:00:00,0.59,IN,17,CC 85-92
2013-04-11 19:00:00,3,IN,17,CC 85-92
2013-04-08 14:00:00,3,IN,17,CC 85-92
2013-04-14 21:00:00,6.45,IN,17,V 71-51
2013-04-19 18:00:00,2.5,IN,17,CC 85-92
2013-04-09 22:00:00,4.93,IN,17,CC 85-92
2013-04-01 21:00:00,5.78,IN,17,CC 85-92
2013-04-01 21:00:00,1,IN,17,CC 85-92
2013-04-16 21:00:00,13.25,IN,17,CC 85-92
2013-04-01 17:00:00,3.17,IN,17,CC 85-92
2013-04-12 20:00:00,2.71,IN,12,PR 61-632
2013-04-03 21:00:00,2.43,IN,17,CC 85-92
2013-04-02 22:00:00,2.6,IN,17,CC 85-92
2013-04-02 21:00:00,1.48,IN,17,CC 85-92
2013-04-03 17:00:00,1,IN,17,CC 84-75
2013-04-01 17:00:00,16.06,IN,17,CC 84-75
2013-04-01 17:00:00,0.3,IN,17,CC 84-75
2013-04-02 17:00:00,3.7,IN,17,CC 84-75
2013-04-29 22:00:00,3.02,IN,17,CC 93-7510
2013-04-29 22:00:00,0.5,IN,17,CC 85-92
2013-04-30 22:00:00,2,IN,17,CC 85-92
2013-04-30 22:00:00,0.5,IN,17,CC 85-92
2013-04-29 22:00:00,4.91,IN,17,CC 85-92
2013-04-15 13:00:00,7,IN,26,CC 85-92
2013-04-26 11:00:00,1.6,IN,17,CC 84-75
2013-04-27 21:00:00,6,IN,17,PR 61-632
2013-04-25 15:00:00,0.3,IN,26,CC 85-92
2013-04-29 15:00:00,7.61,IN,17,CC 93-4418
2013-04-29 15:00:00,7,IN,17,CC 93-4418
2013-04-29 22:00:00,1,IN,17,CC 01-1228
2013-04-29 15:00:00,11.5,IN,17,CC 01-1228
2013-04-29 22:00:00,11.5,IN,17,CC 93-4418
2013-04-22 20:00:00,14,IN,17,CC 85-92
2013-04-23 20:00:00,8.93,IN,17,CC 85-92
2013-04-10 01:00:00,10,IN,17,CC 85-92
2013-04-09 17:00:00,2.67,IN,17,CC 84-75
2013-04-11 20:00:00,1.5,IN,6,CC 85-92
2013-04-23 17:00:00,0.25,IN,12,CC 85-92
2013-04-09 17:00:00,3.99,IN,4,CC 85-92
2013-04-09 22:00:00,4.65,IN,4,CC 85-92
2013-04-03 22:00:00,0.5,IN,13,CC 8592
2013-04-07 19:00:00,3.7,IN,18,CC 8592
2013-04-17 19:00:00,1.2,IN,18,CC 8475
2013-04-16 20:00:00,1.2,IN,18,CC 8475
2013-04-07 21:00:00,1.28,IN,23,MISCELANEA
2013-04-16 18:00:00,4.6,IN,7,CC85-92
2013-04-16 21:00:00,2.5,IN,7,CC85-92
2013-04-24 15:00:00,4,IN,6,CC85-92
2013-04-16 19:00:00,6.52,IN,6,CC85-92
2013-04-19 18:00:00,3.53,IN,13,CC85-92
2013-04-08 18:00:00,2.43,IN,13,CC85-92
2013-04-23 15:00:00,1.5,IN,10,CC01-1940
2013-05-17 17:00:00,0.72,IN,10,CC85-92
2013-05-08 16:00:00,2.12,IN,23,CC85-92
2013-05-08 16:00:00,3.2,IN,23,CC85-92
2013-05-07 15:00:00,6.57,IN,11,CC85-92
2013-05-13 13:00:00,5.84,IN,25,CC85-92
2013-05-14 16:00:00,3.6,IN,9,CC85-92
2013-05-14 17:00:00,3.51,IN,12,CC85-92
2013-05-19 16:00:00,8.16,IN,12,CC85-92
2013-05-25 17:00:00,1.87,IN,4,CC85-92
2013-05-25 17:00:00,21.19,IN,4,CC85-92
2013-05-27 17:00:00,11.24,IN,12,CC85-92
2013-05-26 22:00:00,5.6,IN,9,CC85-92
2013-05-25 00:00:00,2.4,IN,9,CC85-92
2013-05-20 15:00:00,5.54,IN,11,CC85-92
2013-05-20 15:00:00,5.6,IN,11,CC85-92
2013-05-20 15:00:00,3.99,IN,11,CC85-92
2013-05-20 15:00:00,1.3,IN,11,CC85-92
2013-05-16 22:00:00,0.3,IN,9,CC85-92
2013-05-14 18:00:00,2.5,IN,25,CC85-92
2013-05-14 20:00:00,1.14,IN,25,CC85-92
2013-05-11 22:00:00,0.3,IN,9,CC85-92
2013-05-02 21:00:00,2.73,IN,17,CC85-92
2013-05-27 15:00:00,0.34,IN,4,V71-51
2013-05-04 11:00:00,5.68,IN,7,CC85-92
2013-05-04 16:00:00,2.5,IN,6,CC85-92
2013-05-31 19:00:00,5.48,IN,17,CC 85-92
2013-05-08 20:00:00,3.6,IN,17,CC 85-92
2013-05-12 14:00:00,3,IN,17,CC 93-4418
2013-05-20 14:00:00,0.9,IN,17,CC 85-92
2013-05-11 16:00:00,1,IN,17,CC 85-92
2013-05-16 11:00:00,1.05,IN,12,CC 93-4418
2013-05-20 19:00:00,3,IN,17,CC 84-75
2013-05-21 20:00:00,12,IN,17,CC 84-75
2013-05-07 15:00:00,2.4,IN,17,CC 85-92
2013-05-13 21:00:00,1.53,IN,17,CC 85-92
2013-05-01 13:00:00,0.27,IN,17,CC 85-92
2013-05-09 20:00:00,3.8,IN,17,CC 85-92
2013-05-16 21:00:00,4.5,IN,17,CC 85-92
2013-05-15 17:00:00,3.67,IN,17,CC 84-75
2013-05-03 13:00:00,3.3,IN,18,CC 85-92
2013-05-06 20:00:00,2.71,IN,17,CC 85-92
2013-05-04 19:00:00,2.58,IN,17,CC 85-92
2013-05-09 20:00:00,7.1,IN,17,MZC 74-275
2013-05-06 19:00:00,0.76,IN,17,CC 85-92
2013-05-20 19:00:00,4,IN,17,CC 03-154
2013-05-08 21:00:00,0.99,IN,17,CC 01-1228
2013-05-20 19:00:00,1,IN,17,CC 85-92
2013-05-31 20:00:00,0.54,IN,17,CC 85-92
2013-05-12 13:00:00,2.25,IN,17,CC 85-92
2013-05-15 23:00:00,4.24,IN,17,CC 85-92
2013-05-08 19:00:00,0.72,IN,6,CC85-92
2013-05-21 15:00:00,2.5,IN,6,CC85-92
2013-06-04 19:00:00,4.27,IN,17,CC85-92
2013-06-11 23:00:00,1.22,IN,13,CC85-92
2013-05-08 16:00:00,0.39,IN,18,VARIAS
2013-05-08 18:00:00,1.54,IN,18,CC84-75
2013-05-10 16:00:00,0.26,IN,7,CC85-92
2013-05-10 16:00:00,0.24,IN,7,CC93-4418
2013-05-10 16:00:00,1.12,IN,7,CC85-92
2013-05-10 17:00:00,3.5,IN,6,PR61-632
2013-05-12 13:00:00,4.82,IN,10,CC85-92
2013-05-18 17:00:00,5.6,IN,6,CC85-92
2013-05-18 11:00:00,0.73,IN,18,CC85-92
2013-05-18 11:00:00,1,IN,18,VARIAS
2013-05-18 13:00:00,1.49,IN,10,CC84-75
2013-05-18 13:00:00,2.4,IN,10,CC84-75
2013-05-19 16:00:00,0.21,IN,10,CC01-1940
2013-05-19 16:00:00,2.4,IN,10,CC01-1940
2013-05-19 16:00:00,2.2,IN,10,CC01-1940
2013-05-13 15:00:00,2.58,IN,7,CC85-92
2013-05-14 20:00:00,0.15,IN,10,CC85-92
2013-05-14 16:00:00,1,IN,18,VARIAS
2013-05-14 18:00:00,1.2,IN,7,CC85-92
2013-05-20 06:00:00,11.7,IN,18,CC84-75
2013-05-20 06:00:00,1.8,IN,18,CC84-75
2013-05-20 05:00:00,1.45,IN,7,CC85-92
2013-06-22 16:00:00,4.13,IN,10,SP71-6949
2013-06-23 15:00:00,2.56,IN,7,CC85-92
2013-06-08 19:00:00,2,IN,7,CC85-92
2013-06-08 15:00:00,6.15,IN,7,CC85-92
2013-06-17 17:00:00,5.35,IN,6,CC85-92
2013-06-17 17:00:00,2.6,IN,6,CC85-92
2013-06-17 18:00:00,3.77,IN,6,CC85-92
2013-06-27 08:00:00,3.89,IN,13,CC06-791
2013-06-27 16:00:00,4.13,IN,4,CC85-92
2013-06-25 10:00:00,6,IN,7,CC85-92
2013-06-25 20:00:00,21.41,IN,12,CC85-92
2013-06-25 20:00:00,9.55,IN,9,CC85-92
2013-06-21 20:00:00,1.85,IN,9,CC85-92
2013-06-20 20:00:00,5.2,IN,4,CC85-92
2013-06-20 20:00:00,33.81,IN,4,CC85-92
2013-06-19 20:00:00,2.3,IN,11,CC85-92
2013-06-19 20:00:00,10.77,IN,4,CC85-92
2013-06-15 22:00:00,7.52,IN,17,CC85-92
2013-06-15 19:00:00,15.6,IN,12,CC85-92
2013-06-15 19:00:00,6.66,IN,12,CC85-92
2013-06-11 22:00:00,2.3,IN,4,CC85-92
2013-06-11 22:00:00,2.51,IN,4,CC85-92
2013-06-09 17:00:00,8.5,IN,9,CC85-92
2013-06-08 22:00:00,15.04,IN,9,CC85-92
2013-06-08 19:00:00,5.63,IN,25,CC85-92
2013-06-07 00:00:00,16.2,IN,17,CC85-92
2013-06-07 20:00:00,4,IN,9,CC85-92
2013-06-02 15:00:00,2,IN,17,CC85-92
2013-06-01 15:00:00,6.08,IN,12,CC85-92
2013-06-23 20:00:00,13.23,IN,12,CC92-2198
2013-06-08 14:00:00,23.05,IN,11,CC01-1228
2013-06-03 20:00:00,8.14,IN,17,CC01-1228
2013-06-02 15:00:00,2,IN,17,PR61-632
2013-06-01 12:00:00,6.26,IN,6,CC85-92
2013-06-04 14:00:00,1,IN,10,CC85-92
2013-06-06 17:00:00,3.7,IN,6,CC85-92
2013-06-12 18:00:00,7.76,IN,10,CC85-92
2013-06-12 18:00:00,1.1,IN,10,CC85-92
2013-06-20 17:00:00,3.46,IN,10,CC85-92
2013-06-25 20:00:00,4.55,IN,10,CC85-92
2013-06-26 19:00:00,1.28,IN,10,CC85-92
2013-06-08 17:00:00,4.14,IN,25,CC 8592
2013-06-12 17:00:00,2.12,IN,19,CC 934418
2013-06-27 01:00:00,0.5,IN,10,CC93-4418
2013-06-29 15:00:00,2.52,IN,10,CC93-4418
2013-06-29 15:00:00,0.3,IN,10,CC93-4418
2013-06-16 22:00:00,2.3,IN,17,CC85-92
2013-06-29 15:00:00,0.72,IN,23,CC85-92
2013-06-04 20:00:00,2.9,IN,23,CC85-92
2013-06-05 21:00:00,2.57,IN,23,CC85-92
2013-06-13 15:00:00,3.28,IN,23,CC85-92
2013-06-21 14:00:00,0.39,IN,17,CC 85-92
